track_id;track_name;query
0017A6SJgTbfQVU2EtsPNo;"Pangarap";"ang iyong mga ngiti na sa akin ay"
004s3t0ONYlzxII9PLgU6z;"I Feel Alive";"and at 6 i kissed your lips and"
00chLpzhgVjxs1zKC9UScL;"Poison";"night i played the wall checkin out the fellas the"
00cqd6ZsSkLZqGMlQCR0Zo;"Baby It's Cold Outside (feat. Christina Aguilera)";"you see how can you do this thing to me theres bound to"
00emjlCv9azBN0fzuuyLqy;"Dumb Litty";"a thing 욕을 하는 이윤 다"
00f9VGHfQhAHMCQ2bSjg3D;"Soldier";"but ill fight through our darkest of days"
00FROhC5g4iJdax5US8jRr;"Satisfy You";"for you cause i simply adore"
00GfGwzlSB8DoA0cDP2Eit;"Tender Lover";"go love has no limit if you believe in love itll open up so"
00Gu3RMpDW2vO9PjlMVFDL;"Hide Away (feat. Envy Monroe)";"be your hideaway we our lovers til the"
00GxbkrW4m1Tac5xySEJ4M;"Ti volevo dedicare (feat. J-AX & Boomdabash)";"il conto delle ore ti volevo dedicare quello che provo e non"
00hdjyXt6MohKnCyDmhxOL;"Una Vaina Loca";"he sentido nada como eto en mi vida ella"
00HIh9mVUQQAycsQiciWsh;"Limestone";"take till you grow tired hunting for the one that got away"
00i0O74dXdaKKdCrqHnfXm;"La Mordidita";"destila tequila y miel si dios puso la manzana"
00i2HU7TEzzftShjRrDSEF;"Changes";"kill each other it takes skill to be real time to heal each"
00Ia46AgCNfnXjzgH8PIKH;"Latina (feat. Maluma)";"más bella más fina hay más feelin más dura y más"
00ITtxUozN0vifE2uYvtqn;"Let Me Entertain You - Remastered 2011";"you if you wanna see some action you get nothing but the"
00LfFm08VWeZwB0Zlm24AT;"Suga Suga";"feeling so gifted sugar how you get"
00lNx0OcTJrS3MKHcB80HY;"You Don't Know Me - Radio Edit";"like you know me nana"
00NAQYOP4AmWR549nnYJZu;"Secrets";"i hear the secrets that you keep keep keep when"
00nvL9u5K8jEJ6TSxGdtPK;"Me Enamoré";"pero tengo que confesarteque me muero por besarte me tienes loco y no"
00OKDIsSQbx8rd5Al7fKNw;"Stand Out - From "How to Build a Better Boy"";"stand stand out stand out oh oh oh oh stand out oh oh"
00p85inzGeXRXgqDVn7Ftq;"Laps";"you send the shooters and we sendin"
00PLtXXER1XcTRZvs3LioS;"Get The Funk Out Ma Face";"face get the funk out ma face get"
00ppj2gGs8oxhGnTdejkzD;"Ooh";"ooh ooh if youre ready go"
00PXizG9xlUNINeqADlh96;"La Vida Es Una (feat. Pitbull)";"loca yo veo que tu quiere trago dale abre la boca vamos vivir la"
00qOE7OjRl0BpYiCiweZB2;"Juke Box Hero";"a heavy downpour thought he passed his own shadow by the backstage door like a"
00QyLmjxaSEE8qIZQjBXBj;"We Own It (Fast & Furious)";"what you say working hard reppin for my"
00ReeHCY0FQUyuAUyPJdnk;"Ain't No Future In Yo' Frontin'";"this sound hard somethin funky"
00Ro1lnV3V6i87aY4t8Q43;"La rebelion";"negra no no no no no"
00S35gEf40z03JTJgvQMqi;"It's You - Radio Edit";"was a blessing i know"
00SmB7n85SKROGjybsyq5i;"Bongo Bong";"im bangin on my boogie"
00UpV14MDfk4CvrMbFvqji;"It Won't Stop (feat. Chris Brown) - Julian Calor Remix";"wont stop boom boom booooomm and it wont stop boom boom"
00vHOSgvVfyLzhlTZIJo1m;"Full Moon";"다시 만날 수 있게 날 매일 꿈에서 그려줘 파랗게"
00WIXhVVhswHuS6dlkScuw;"Hot";"you like what you see oh baby take a look at me cuz"
00X2yv2vrtritPt2CZnUTZ;"Bené";"taimes pas ta copine veut nous"
00YeYHw6zhoy1y7EPTgIkj;"Shine - Kygo Remix";"your back now turn around and dont be sad i hope you"
00Z0GIRi0l7WqQnQJCo5S2;"Don't Let It Break Your Heart - Single Edit";"kill you even when it hurts like hell oh whatever tears you"
011gUcrvLDn2gEApOdOhVe;"Been A While";"could i let you go havent seen you round"
012mGdSYIBEmERuScm2iOl;"Santa Claus Is Coming To Town";"claus is comin to town woo hoo woo"
014J7jX1wSv0manSdRnveo;"Dancing On My Own - Tiësto Remix";"the guy youre taking home ooh i keep dancing on my own and oh nah"
014V6u9VubefjaPPl1QkTJ;"Phenomenal";"yeah i dont try like hell then i might as well hang"
01auWCuHXubb8KPZ0IXF4S;"Get Get Down - Radio Edit";"down down dodown now geget"
01Bw3xiZ5PQfn0btMWICaQ;"Beautiful Life";"follow its a beautiful beautiful life beautiful beautiful life beautiful beautiful life with you"
01bWQ4TPGmsP6FS64nF4R9;"Suave";"bent suave dans met mij mn nek is filled with diamonds nacht is jong ja"
01BXNQilWpOZxGLU9c12Iy;"Pegao";"pegao pegao y el mahon bien apretao bien pegao pegao pegao ehh se le"
01DSvNTUsVROjnSF5j3UbD;"Try";"eh eh eh funny how the heart can be deceiving more than"
01FBBpA6WBl3arX7pxTFwO;"Not To Much - Remastered 2016";"dije que cuando me miro a mire que cuando se toco me toque y"
01IQ4aQgOf0Kkq3a273hmO;"Funky Friday";"told him the plate tell a peng girl you can"
01iyINEYgPQ7ThMZuHUsqS;"First Love";"like first love im gonna give it im gonna give it im gonna i cant"
01kmEgrTZAGvJNicVB7laT;"Alone";"the cold again i feel the cold i feel alone again"
01LODLnhlfNphZ366BqKc0;"Now That We're Dead";"fighting for when kingdom comes may it be we walk right"
01Lr5YepbgjXAWR9iOEyH1;"Love Sosa";"boys you gon get fucked over raris and rovers these hoes love chief"
01M4Wng6jF5uoNEHLl2OIn;"Mama Knew Love";"very first day u gave me a piece of"
01nV5tQ4pCpKIIJ3AVxKdv;"Generé";"que toco loco yo ocupo el"
01q4ccXbvPlCwZ1fPiFaeM;"Girlfriend in a Coma - 2011 Remaster";" its serious girlfriend in a coma i"
01Qb6dN5suQNu87VJ1mIpf;"Did It Again";"the winnin niggas you gon lose i dont"
01QhVHvkGqzO861Kl3GhfX;"I'll Be All You'll Ever Need";"users have visited this page sponsored"
01R0Xdwje645C6xFCnMRvm;"Talk Dirty To Me";"you know that i can hardly wait just to see you and i know"
01TzbTwZ9Mce9mOeBpH03i;"Goodbye Love";"guess you knew we blew a good thing yeah yeah cause"
01vv2AjxgP4uUyb8waYO5Y;"Morph";"else im just a ghost ill morph to"
01wavOnjFBNgdMWBFYIAP4;"50 Vezes - Ao Vivo";"tô sentindo falta das 50 vezes que"
01XFgRZfZI7oBagNf1Loml;"Harlem Shake";"tas tas tas then do the harlem shake shake ey shake con"
020mPSviVz90DTlyfxofDJ;"Always Gonna Say Sorry";"pretend oh its just not worth it no longer fall back and"
020wG4EHTwBy5h2rbpxqvK;"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)";"io mimbarazzo se ripenso che a sa scuola avevo la lean nel"
02138lFv3Bzncr6ScNbLAF;"Rattle Your Cage";"and over and over again well i wanna cause everything"
023OVLNzXhX0j7CxswUt6D;"Cheerleader - Felix Jaehn Remix Radio Edit";"i found myself a cheerleader she is"
027h5P3kCyktHv9dpHUBBS;"Why Don't You Get A Job";"hates that dick she tells me"
027VSEVC8RRjUXLEJAzhH6;"On the Back of Your Neck";"lightning in the little spoon beyond a shadow"
02803el8p3mKqcJzJ3Agpp;"WhatWasThat";"the waves crash down and you"
028JxheELfIvvY4zBXuMjw;"Heartless (feat. Mustard)";"i fell in love with dollar signs wont let my mind forget"
029QP3fFtLaW9B9RKr8DAg;"Say My Name";"seen you would prolly fiend for a taste for"
02AT1Z0nscuElXMWBEzEKu;"Paint My Love - 2014 Remastered Version";"the freedom of a thousand doves baby you should paint"
02BDSCfu9jBYvJ8LkUVttD;"Hi Life";"grabs come off your slab cause"
02bTIMbUm8Zgt0cVAiexE4;"This Is Our Time";"yours and its mine this is our time yours"
02CygBCQOIyEuhNZqHHcNx;"It Runs Through Me";"bring clarity running through me i love the way it sings"
02DoXNeIVYvONhTk1fGQrz;"Nothing Really Matters - Afrojack Remix";"breathe her every time i"
02DurCgOvDdX0uKEjqcl3W;"Who Are You";"ooh wa ooh wa ooh wa ooh ooh wa ooh"
02eF5vF3ASltFpWHDVWkdQ;"I Want You To Want Me";"didnt i didnt i see"
02gIQlGYI0KVK87Uo9Ekjj;"I Heard It Through The Grapevine - Single Version";"and im just about to lose my mind honey honey"
02gV5Zc9ctbZxD1uTNIok5;"Without You - Remastered";"eyes your sorrow shows yes it shows cant live if living is without you"
02GwPAncasVL82yC7y2hmN;"Raise Up";"the beginning been wit me even fore they knew what bein with me was yall"
02H05NlKnwFQREf0qu89AL;"Compound";"thought they had the guy"
02jcEwywffn3Tsb48fXmlW;"Get the Party Started";"comin im comin up so you better get this party started pumping"
02jdttpwvUBvKdzHkoL644;"Stray Lines";"can keep baby im cautious im all out of options"
02K5IV55wIgNNARk3UA95E;"Paloma Negra";"donde me aseguran mis amigos que te vas hay"
02kdNcUqZRgXwQiYr92gZW;"On Fire";"me fortunately you take me higher the"
02lGHA7bFFplYLihnUWTx8;"Tequila";"vez las ganas de llamarte me van a"
02LnwwnaanFpM5dZNArPBb;"Ella Se Fue";"te seguire amando ella se fue aún me acuerdo cuando te deje ahora se"
02lvTeAFIIsOd0wVNoRkQ5;"Who Needs You - Remastered 2011";"you ever give in taking one step forward slipping"
02M6vucOvmRfMxTXDUwRXu;"7/11";"it smack it in the air wave your hands side"
02MjAy2BTPTdqO19O5VtHO;"Getting Away With Murder";"tell the truth but the reality is im getting away with murder"
02mJtllR8CoskckLlrirNV;"Smile - Years Remix";"dont know anything at all so smile cause you aint got nothing"
02pf9lLM8Nb8l4u4ts1GWb;"My Nigga";"nigga if a nigga talkin shit"
02PiwfcW4LuKxhDi3JfH01;"Don't Look Down (feat. Blake Young)";"go nowhere but up from here always keep your head"
02q7qbOYbE89NMFEtOklcc;"Unity";"to the back front to the back front to"
02Qo5DFgoGTiBGo4ZUvjXm;"pete davidson";"happy happy ima be happy happy ima be happy happy yeah"
02rbSCTm2smTIZ6d8im2NP;"This Is How We Party (with Icona Pop)";"dont know how it started you cant"
02SUyCzxfqllXeEUqVNMVv;"Tokyo";"out of sight im out of my mind youre out of my reach"
02tvc9CFnTyHuSRlGeNv9w;"Corduroy Dreams";"and i can lay here"
02uRToy7bttYcKCO3vIStA;"Hit That Jive";"got time to shake your hand hit that jive jack put it in your"
02UYYPOGSBXxGEMce927XV;"Nobody (feat. Athena Cage) - Single Version; 2007 Remaster";"do place no one above you oh yes i do if"
02WVK9TPtjSOcmy9cDkd5D;"Go to Hell";"refusing to act your age for all"
02XnQdf7sipaKBBHixz3Zp;"Paparazzi";"stop until that boy is mine baby youll"
02Y5MRZD7AsElSRxsQtQzw;"Jet Airliner - Remastered 2017";"get rich you know i might get busted but my heart keeps calling"
02Yq8TMuecXONAjkORNJNM;"Say It";"it like that oh oh oh"
0363w3IUcO4cJMsAFLpfLY;"Faith - Radio Edit";"a golden gate the door to"
036GQb6SETOJJG8BxJTNxc;"Chloe (You're the One I Want)";"dont make her better oohooh you got my heart and"
037yW9RzsLze4OmBYmcH4G;"Save My Night - BlasterJaxx Remix";"soul the beat save my life tonight the dj save my night save"
038k4V2bjaAQsfpYV7V9WP;"Where I Won't Be Found";"i feel the sun i"
03a359wbiUsjN9h6yzXvmS;"She Don't Give a Fo";"fo she dont give a"
03b1NUHnoavfpLLKcEMfIb;"Go Getta";"kells yeah 8732 what it do nigga haha thats right"
03ejfFAbwrrANbH4fZzF0W;"melancholyism.";"it bymyself or play it in the room cause ive nothing left to"
03GzYByXsXHcoEAxjsWv9G;"Slow Motion";"i do come over here  get a little bit closer to"
03jdl5GTBhKsgB1Yw8mVPh;"In Between";"everybody gets high everybody gets low life can be"
03LhreaNy6FWQxSxTX9u9H;"Watch Me Dance";"my dreams ill make you appear as we"
03nYlT73VrrZdiw3ZaTuti;"Baila Conmigo";"conmigo echa pa acá no quiero ser"
03PpdID0NKPVUrRtHybsE1;"California";"hots glass houses in linnwood see"
03ShCBJrWXSp3vogMeCIxz;"Switch";"we switch just like this takin our takin our turns til"
03sno6MIkoVX5eC4pRKMzr;"Stranger";"breathe its cold just dont need it face down cant see its cold"
03SrVtN1UcstvinRAjrfff;"How Ya Like Me Now - Longer Version";"youre scared to even meet me my words the"
03taJRQ6nyzYWac6HDysMh;"Hoops - Acoustic";"love ive seen all your faces its not love its not love wouldnt"
03teNQu8rWlFnNzF1ULXIq;"Starstruck";"alright ohoh yeah ohoh starstruck ohoh yeah ohoh yeah"
03tqyYWC9Um2ZqU0ZN849H;"No Hands (feat. Roscoe Dash & Wale)";"yeah blow it fuck it i dont care"
03vri3F9DxZ5QVZ5LWsgn1;"CAN YOU HEAR ME NOW?";"quiet and youre lonely wishing you could hold me ohoh can"
03wOwEbTS3JR2Y2U0TxkFx;"Encanto";"un amor tan real real que por más lejos que vayas siento que te"
03WsrEB8eyCeUfvRxGP5JX;"Down 4 Whateva";"really no so all i wanna know"
03yOjwHoOPDlTUg0NRxN6t;"Cemetry Gates - 2011 Remaster";"day so lets go where were wanted and i meet you at the"
03yUFstSdQheHSdqQRWlmr;"I Don't Wanna";"now lately it feels like i mean i feel"
03ZDwfZKhjHLqk9tIzd2KB;"Die To Live";"we die to live we know about the law but that wont get us"
03ZIYIkSXFEe8eKeG6qzE8;"The Air Near My Fingers";"is not a man until he makes a stand well im not a genius but"
03zYFtluA21jFWQVPMbUYO;"Only for the Weak";"sympathy the misery that is me sell me the infection it is only for"
042wd4CrF4WTAwiKs0F7Ve;"First World Problemz / Nobody Carez";"with some good friends i dont even know where the day went"
044fQJmT2fZUYcA3BnaOL2;"I Can't Wait";"you call me on the telephone i cant wait"
044qU7kwVZaDwzWnRsmVVL;"I Dare You";"i get chills hearts rate multiplies im on a"
045sp2JToyTaaKyXkGejPy;"Fake Plastic Trees";"wears him out it wears she looks like the real thing"
047fCsbO4NdmwCBn8pcUXl;"Marvins Room";"better tell me have you heard that lately im"
049NJ23pZOBKj9GNJUgd60;"Beautiful Trauma - MOTi Remix";"oh my drug my love my love"
04aAxqtGp5pv12UXAg4pkq;"Centuries";"for centuries hey hey hey remember me for centuries weve been here"
04b5l1WOlEonBLK2qTZrUV;"Dancewitme";"way you groove but dont you know"
04BZvpVvpJKPWXVfnWr6a3;"Grateful (Neon Feather Remix)";"are faithful faithful lord im grateful for you cause of"
04EMkFMFkTaxWciZvxjkVT;"Fvck Luv";"e la mañana culpa de esa pastilla con"
04g1aQFzaegB7ovWaMMIzz;"Congratulations - Don Diablo VIP Mix";"little broken but ive got my eyes wide open im gonna say it"
04Glred2wGdSNH11Qh4EDe;"This Is Love";"is love that im feeling this is love this"
04gQHzS8FLPoNdnRKw4jDJ;"Wow, I'm Not Crazy";"yeah im not sick im"
04gYIUXKUVY2bZhawtyxD0;"Where Angels Fear To Tread - Single Version";"here to stand myground doyou wanna knowhow never surrender thats the way iam you wish"
04hFLMBiGOrTeuZBVnCGhh;"Northern Sky (feat. Kb)";"still roll out no marketing"
04i2uLdBAfCSYjQzZqspDa;"Jungli Sher";"ki kahani mein only truth i will seek khiladi"
04JbHAAn3uqbfnx6ptFyaK;"No Rest for the Wicked - Robin Schulz Remix Edit";"another so only one life cant be"
04JmxH2IpgpIeZdbYswRq1;"Azzlack Harami";"regieren für jeden der krieg will glaub mir wir schießen azzlackharami hamad 45 milonair"
04KsMCb9PZE2S0AtUU8Jhb;"April Showers";"outdoor paradise for two march winds and april showers make way"
04KTF78FFg8sOHC1BADqbY;"Hot In Herre";"a little bit of ah ah let it hang all out with a"
04MKRNwoX7TqQkA0ZrtMbC;"Rearranged";"acting like life is a motherfucking game already late"
04MLEeAMuV9IlHEsD8vF6A;"No Stylist";"stylist no stylist stylist new chanel saint laurent gucci bag huh"
04MNKrAnzrHDUzuXAtNoLr;"Live And Let Die";"cry say live and let die live"
04o1cc3SZKXhAGFugDUHMx;"Ocean Drive - Michael Calfan Remix";"love but its never enough nah i wish"
04pjfS3YIK6gXjxi1zHeZa;"Legends Never Die (feat. Against the Current)";"never die they become a part of you every time you bleed"
04Rz403IY7QUqgfrTWX6OU;"Da Graveyard";"peel a punks cap back and"
04sN26COy28wTXYj3dMoiZ;"Bored";"what makes you sure youre all i need forget about"
04so2YoeEkrKTfmgoYRmvw;"Lying We're Fine";"tough when faced with time we waste our lives lying were fine we step"
04VArZKHm1xesMxqnsutDY;"I'm Dreamin'";"of love come true dont wake me im dreaming girl dont wake me dont"
04xhIz4DiBGDECn7kIFodv;"This World Is Sick";"deep inside you i dont see i dont"
04XOESV0aVnKMlUU1NhIG1;"Nevermore - Remastered 2011";"of nevermore even the valleys below where the rays of"
04xWapbcBAgNWGHGdhcxoR;"Certainly - Flipped It";"me the time no the world"
04Z8OXrOr1dCPd741ucXLQ;"Don't You Want Me";"you were the one eyes so deep you sent me melting and then"
04ZTP5KsCypmtCmQg5tH9R;"I'm a Mess";"im a mess for your love it aint new nobody shows"
050ud0e5cmIYjmXplDugVQ;"Ready Set (feat. Big Sean)";"been through yeah its a celebration ayy cause we made it"
05520pV0mf7miCgs08FB2f;"Roll With Me (feat. Shungudzo) - Friend Within Remix";"win the lottery so you better ask permission if you wanna roll with"
0561ZV0uaJYEOPTa5jCiqg;"Moved On";"who we used to be only"
056uvAVDFOa7kv9idKPpf0;"I See Your Smile";"enough to light my life"
058LC5qOG4VDaa4scqYc6v;"Motownphilly";"we can get down we are ready to roll so now the world will"
059bcIhyc2SBwm6sw2AZzd;"Te Vi";"gustaba cuando te reía me encantaba y yo"
059seYDUmCUfv4KsB5Jc6H;"Goodness Gracious - The Chainsmokers Extended Remix";"tight goodness gracious i cant seem to stop calling"
05bXOQTUxou0BaZ6XteJo0;"Krantenwijk";"doezoe werd wakker met een ton en"
05CwHjIk71RXVU40boRMnR;"Call You Mine";"for the rest of your life and i said i dont even know what im"
05dL7chWJaVjMJnGO1YCKk;"Untouchable";"all well stay well stay untouchable time is slipping"
05DOYX9MB5oUQbr6RPa6dH;"Déjame Volar";"soy un joven tumbado sólo déjame volar soy un joven tumbado sólo"
05hXrqBkWkAdl4kG0iNksE;"Feel Me (feat. Kanye West)";"dress shirt top shotta put the pressure jamaican"
05iMQqncVBIm4AE26EvaTL;"Andar Conmigo";"hay tantos caminos por andar dime si tú quisieras andar conmigo ohohoh cuéntame sí quisieras"
05JdgtCKkZ5CoOjM5KS4EG;"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix";"hard knocks let me take"
05KCB1XhTrdEASLYqbESny;"Nothin' But The Cavi Hit";"paper made the poverty cease"
05LCfd8s9n2teUcsTsBAnr;"Alladat";"capiche ive been this way show you how the switch"
05LvE6ySn6hEcHdAJ7N19z;"Losing It";"losing it im losing it im losing"
05mAIVLkIWc2d1UBYZBCp8;"1999";"back sing hit me baby one more time"
05MLzVoBzoe6LaBooK7Vsj;"Howling";"fell into your skin on the night you"
05mrU7mN3c1822bpY58UBC;"48H (feat. Sfera Ebbasta)";"troppo esclusiva e non volevo"
05NYcsjJwOYq4jIiKPVj9p;"Hard To Handle";"man of great experience i know you got another man but"
05oETzWbd4SI33qK2gbJfR;"Rhiannon";"wind would you stay if she promised"
05oFyvdztPdpwSwpoclD4c;"If You Leave - From "Pretty In Pink"";"said wed still be friends i touch you once i touch you twice i wont"
05P4BYqVauVxy0w9g6w2D9;"Stand By (feat. Rudimental) [#CWC19]";"be your only one dont want you"
05Q5sFIYy6KC887fLw9p1y;"Forget";"wrestled your nightmares the sweat in"
05qPqSapbaCzJAdX681R9A;"Make Me Feel Better - Klingande Remix";"you make me feel better so lets stay together you"
05R2lE5g9hnaSmxIrUl3C0;"I Adore Mi Amor";"sera realidad te quiero mucho baby te quiero mucho mi amor"
05RgAMGypEvqhNs5hPCbMS;"Panama - 2015 Remaster";"avenue model citizen zero discipline dont you know shes"
05SBRd4fXgn8FX7bf8BCAE;"I Need Your Love (feat. Ellie Goulding)";"be free with you tonight i need your"
05Sgj1Hx03ZXc57gsV1kfX;"It's Goin' Down (feat. Nitti)";"lap on the phone counting dough if a girl"
05SgVqTnF4qEMvKSGPeRSD;"Ich Binnezz";"voller funkelnder buds kapuziner mandrill unfassbar krass herz pumpt 808 wie ein untergangsbass dass"
05VHidqx1tV6V7MsCdAIby;"Lucifer";"niggas on deaths door breathing on respirators for killing my best boy haters"
05vL56xSoxthM0r7IfcQjo;"If I Ever Lose My Faith In You";"you thered be nothing left for me to do i could"
05vpswcCkiXX2egk5GBo2y;"Middle Of The Night";"keys now im fixin to break em to the"
05xA64s3UzOOmAnh9SIIjn;"Bloom";"i hope your flowers bloom i hope your flowers"
05xbEV5M8DAQmhFKKlHaDd;"Bring It On";"a motherfucking glock the rugged child is in the house im letting off shots"
05zCWOpwIUf6JY06gSL6uz;"Love Me Like You Do - From "Fifty Shades Of Grey"";"let you set the pace cause im not thinking straight my"
060AenZFpUKot40Pv0CJ0l;"I Go Blind";"its no big deal no big deal hold"
062mh4qAZyDV9dIQK70iu0;"Miss You Much";"tell you baby ill tell your mama ill tell your friends ill tell anyone whose"
064SVQsmWl5EF0zahmzkQk;"Let Your Love Flow";"grow with the smallest of dreams and"
068LmtzI6xJJDPfPnMje0U;"Let It Happen";"next train why would i do it and"
068XDWvE8tDnQsKo8J3x1Z;"Best Life";"coke by myself in the"
06b11p3gAvqqjOnku0CK9V;"Hall & Oates";"my eyes the weight is pressing down"
06BrHnTVDOydsfg0LZ6mQb;"Talk - Alle Farben Remix";"can we just talk talk about where were goin before we"
06cX5CpHPVUYnEJ2UupXXp;"Popeye";"pipe acho que eu já virei um popeye um popeye"
06dT0EYXrhRQV1MsvWhNGv;"Bad (feat. Vassy) - Radio Edit";"youre looking for oh baby here i am oh baby here i am so"
06EL94D0TA27Ik0Ke5usbj;"The Way";"adventure so let me come and"
06FhHrnpYCmIxIxIGUehxQ;"Palmar";"día siempre echados al sol oh sin tu bañador oh uh uh y echarnos"
06H5AH5KtVWbAPNuOG8biW;"No Te Quiero Perder";"enteraste de algo quealguien me fue a"
06Hdbxh6NCy6TIhjdXTchB;"Headlights (feat. Ilsey)";"i could feel the beating of your heart on drum oh dont know if"
06HUJRcD0t95ogCb2pMQJF;"Golden Years - M-Phazes Remix";"the golden years right where we"
06ILvvMXRF1iDNcmrdhSZb;"Lose Your Soul";"and a young man with so much anger caged within riding"
06iMqWThw4w8fTFyccvOwr;"Ride Wit Me";"whats witchyou you for real hey yo now that im a fly guy"
06KGsnrJI4Fd6V3rpSKDwi;"Fuoh";"head off smoking opps and im"
06ku5BBS2HufqSDVkcSR15;"Tunnel of Love (Intro: The Carousel Waltz)";"said you are the perfect stranger she said baby lets"
06KyNuuMOX1ROXRhj787tj;"We Don't Talk Anymore";"known your love was a game"
06luxtMuY4HXVpfWIK0rjw;"Russian Radio";"ever believe you radio now that weve learned to deceive you bridge there is"
06mzeP9GQNSHWd1Nh2C5FM;"MIDDLE OF THE NIGHT";"ill be on the way in the middle of night its something in"
06nmhf5qFcn3qTB0anQkpJ;"Safari";"voy a coger provecho lo que me gusta you know"
06o6dZ9ekqfEvQNRePKoZg;"i hate u, i love u (feat. olivia o'brien) - Deepend Remix";"dont want to but i cant"
06oxeUYunH85rZkj0KXMDO;"Sektion (feat. Branco & Gilli)";"godt at vi varm min bror"
06Pvy98db25O7wlfFFFIRM;"Bon Bon Chocolat";"나 나나 oh whoa 이 순간을 기다린 심장의 쿵쿵 떨림을 더 크게 외쳐"
06qKEP3ITnVPmH2ZW1zYvn;"Shotgun - Quintino Remix";"you shot me right in the face with a shotgun you shot me right"
06u5LrUpbosQlQ1QJFhPpG;"Drew Barrymore";"sorry im so clingy i dont mean"
06UXtRLTF6kdMSM3uaVCCU;"In Only Seven Days - Remastered 2011";"this could happen to me in only seven days it would take a"
06vSnlO8lrC5o69qz9fW9f;"Booty Loose (feat. Fly Boi Keno)";"booty loose that booty loose bend and make your booty loose that booty loose bend"
06WD650Zt5MQ55kFMP2f3r;"Fire Fly";"and yous a fake fuck like a fleshlight even dudes who like me straight lookin"
06WohfoFEUa5faNy8f9S5N;"Adrenalize";"it and exactly what i need im here for one drug im only"
06yHcjr58IKJnfEK7ko3sD;"Poison";"right out of your mind and steal your"
06YVA5Ajbk0Kv4ddFSEuBM;"You Really Got Me - 2004 Remaster";"dont know what im doing yeah"
06Z7Hy2LUzbcSFmWzwkun1;"With You - Frank Walker Remix";"street three kids and a big house cant believe were here now your"
06ZIzHhJFWf0mDyEylIPf0;"Peachy Keen";"im slightly scared baby lost"
06ZQwfPghgSJ2L6bXQUxO9;"Trenches";"all my life to get out of the"
072GuDuz8KUCpTOx1fDTTt;"Swish";"dont pocket your ruga i wanna see you"
073ILU1C3APNRGF66VhtyA;"Liar";"youre here or if youre not alone i dont care its been"
0745pNOxmaa0hAdq5xvrMT;"Safety (feat. DJ Snake) - Dark Heart Burn Mix";"it girl you got me spinning around and around i need"
074v54tSEWLbq3Hu5wf6uh;"The Whole World (feat. Killer Mike)";"need it for my stomach cause my tummy kinda aches like a junkie on withdrawal"
075NNuZU6IxC7Us3L7ylep;"Guardia Civil";"eh egal geb gas links rein geradeaus heb ab"
076jREnPu9sinABTfdw9Xi;"Calabria - Firebeatz Remix";"yuh di talk of di town yeah whoopwhoop when yuh run come around"
079lsExLsjditCh8XyUn0L;"Best Rapper Alive";"case sell his chain celebrate block party"
07ABETRdek3ACMpRPvQuaT;"Always on My Mind";"love hasnt died give me one"
07Agqdd4SD83JRgN19OjdW;"Magenta (prod. Auer)";"chwilę na shellu nad nami niebo"
07ANB9prOyNTWnMbDGNzdW;"Fortunate Son";"aint no fortunate one no no no it aint me it"
07bBCZ2bNs5gVlm4e7tJQ1;"Chillax";"quiero alegrías yehah alkiladoos chillax"
